Date,Temperature,Relative Humidity,Peak Demand
2020-01-01,10.65,48.65,174.2
2020-01-02,12.48,72.65,173.3666667
2020-01-03,14.64,74.02,172.5333333
2020-01-04,13.88,66.9,171.7
2020-01-05,12.81,54.56,153.7333333
2020-01-06,13.7,55.23,170.0
2020-01-07,14.59,75.14,169.1666667
2020-01-08,13.18,86.74,168.3333333
2020-01-09,9.67,67.72,167.5
2020-01-10,8.99,55.02,166.6666667
2020-01-11,10.4,43.57,165.8333333
2020-01-12,13.13,38.27,148.5
2020-01-13,14.82,57.85,164.1333333
2020-01-14,14.25,70.79,163.3
2020-01-15,13.32,67.25,162.4666667
2020-01-16,12.64,81.97,161.6333333
2020-01-17,12.85,76.27,160.8
2020-01-18,12.95,67.51,159.9666667
2020-01-19,11.06,66.46,143.2333333
2020-01-20,11.01,67.55,158.3
2020-01-21,13.13,50.6,157.4333333
2020-01-22,12.91,51.7,156.6
2020-01-23,11.36,58.68,155.7666667
2020-01-24,11.46,48.89,154.9333333
2020-01-25,11.77,47.91,154.1
2020-01-26,14.12,54.88,137.9333333
2020-01-27,15.98,58.08,152.4333333
2020-01-28,14.23,74.55,151.6
2020-01-29,13.94,68.64,150.7333333
2020-01-30,12.01,61.52,149.9
2020-01-31,11.83,57.77,149.0666667
2020-02-01,12.39,53.14,148.2333333
2020-02-02,11.46,59.41,132.7333333
2020-02-03,12.08,55.59,146.7
2020-02-04,12.61,49.46,145.9
2020-02-05,12.66,51.35,145.1333333
2020-02-06,12.14,53.86,144.3666667
2020-02-07,12.41,51.66,143.6
2020-02-08,11.94,56.28,142.8333333
2020-02-09,12.83,53.56,127.8666667
2020-02-10,13.52,48.55,141.2666667
2020-02-11,14.23,48.24,140.5
2020-02-12,15.65,49.44,139.7333333
2020-02-13,18.71,51.77,138.9666667
2020-02-14,17.74,47.16,138.2
2020-02-15,15.62,40.25,137.4333333
2020-02-16,16.12,38.31,122.9666667
2020-02-17,16.46,35.09,135.8666667
2020-02-18,16.31,35.2,135.1
2020-02-19,18.39,32.59,134.3333333
2020-02-20,19.08,41.89,133.5666667
2020-02-21,17.18,66.77,132.8
2020-02-22,17.31,69.15,132.0
2020-02-23,19.26,58.34,118.1
2020-02-24,18.91,57.48,130.4666667
2020-02-25,18.45,54.38,129.7
2020-02-26,18.91,58.02,128.9333333
2020-02-27,18.11,62.36,128.1666667
2020-02-28,19.58,61.01,127.3666667
2020-02-29,19.94,66.2,126.6
2020-03-01,20.47,65.14,113.2666667
2020-03-02,20.93,53.4,125.4
2020-03-03,21.0,48.75,124.9333333
2020-03-04,21.23,52.15,124.5
2020-03-05,20.19,71.64,124.0666667
2020-03-06,17.96,81.39,123.6
2020-03-07,18.0,66.53,123.1666667
2020-03-08,18.14,55.99,110.4666667
2020-03-09,17.52,55.0,122.2666667
2020-03-10,18.18,48.01,121.8333333
2020-03-11,19.97,63.72,121.4
2020-03-12,21.01,62.18,120.9333333
2020-03-13,20.02,43.93,120.5
2020-03-14,16.97,59.4,120.0666667
2020-03-15,17.73,54.72,107.6333333
2020-03-16,19.27,55.0,119.1666667
2020-03-17,20.39,51.54,118.7333333
2020-03-18,21.42,50.0,118.3
2020-03-19,22.65,53.47,117.8333333
2020-03-20,23.72,50.62,117.4
2020-03-21,24.72,44.77,116.9666667
2020-03-22,24.18,45.67,104.8666667
2020-03-23,23.77,48.31,116.0666667
2020-03-24,24.48,48.4,115.6333333
2020-03-25,25.36,48.98,115.1666667
2020-03-26,24.0,54.76,114.7333333
2020-03-27,22.54,63.23,114.3
2020-03-28,22.74,55.7,113.8333333
2020-03-29,23.1,45.17,102.0666667
2020-03-30,22.86,46.48,112.9666667
2020-03-31,23.69,47.46,112.5
2020-04-01,25.71,49.42,112.0666667
2020-04-02,24.36,46.16,114.4
2020-04-03,23.15,40.75,116.7333333
2020-04-04,23.96,39.21,119.0666667
2020-04-05,25.81,39.12,109.2666667
2020-04-06,26.62,34.49,123.7333333
2020-04-07,26.81,37.94,126.0666667
2020-04-08,25.96,40.49,128.4
2020-04-09,25.51,38.14,130.7666667
2020-04-10,27.89,35.3,133.1
2020-04-11,29.14,35.87,135.4333333
2020-04-12,28.96,36.52,124.0
2020-04-13,30.33,39.78,140.1
2020-04-14,32.34,36.41,142.4333333
2020-04-15,31.98,27.76,144.7666667
2020-04-16,30.81,31.38,147.1
2020-04-17,29.68,30.04,149.4333333
2020-04-18,29.8,32.88,151.7666667
2020-04-19,28.88,40.73,138.7
2020-04-20,24.65,48.49,156.4333333
2020-04-21,27.72,44.75,158.7666667
2020-04-22,28.48,35.47,161.1
2020-04-23,28.45,36.28,163.4333333
2020-04-24,30.77,32.51,165.8
2020-04-25,31.94,29.52,168.1333333
2020-04-26,30.15,41.13,153.4333333
2020-04-27,28.01,51.82,172.8
2020-04-28,28.88,48.66,175.1333333
2020-04-29,30.99,40.89,177.4666667
2020-04-30,31.94,40.54,179.8
2020-05-01,32.37,39.08,182.1333333
2020-05-02,32.65,38.61,183.0333333
2020-05-03,31.26,43.39,165.5666667
2020-05-04,30.68,48.83,184.8666667
2020-05-05,31.56,41.75,185.8
2020-05-06,31.67,35.47,186.7
2020-05-07,30.16,45.41,187.6333333
2020-05-08,32.75,33.04,188.5333333
2020-05-09,33.4,30.61,189.4333333
2020-05-10,30.98,44.02,171.3333333
2020-05-11,30.14,46.03,191.2666667
2020-05-12,31.41,37.9,192.2
2020-05-13,32.66,34.93,193.1
2020-05-14,33.67,35.71,194.0
2020-05-15,33.41,33.82,194.9333333
2020-05-16,33.13,28.31,195.8333333
2020-05-17,34.34,25.48,177.1
2020-05-18,34.03,22.57,197.6666667
2020-05-19,33.72,17.27,198.6
2020-05-20,33.12,18.47,199.5
2020-05-21,34.13,17.42,200.4
2020-05-22,36.52,15.93,201.3333333
2020-05-23,38.66,15.66,202.2333333
2020-05-24,38.32,15.52,182.8666667
2020-05-25,37.83,18.47,204.0666667
2020-05-26,38.37,15.49,204.9666667
2020-05-27,38.92,14.54,205.9
2020-05-28,36.75,26.53,206.8
2020-05-29,34.91,32.66,207.7333333
2020-05-30,31.65,43.82,208.6333333
2020-05-31,29.66,55.57,188.6
2020-06-01,31.02,50.07,210.4666667
2020-06-02,31.92,45.23,210.4666667
2020-06-03,33.32,40.7,210.4666667
2020-06-04,31.8,47.52,210.4666667
2020-06-05,31.1,48.71,210.4333333
2020-06-06,31.45,46.92,210.4333333
2020-06-07,32.46,47.06,189.4
2020-06-08,33.31,42.82,210.4333333
2020-06-09,35.16,38.61,210.4333333
2020-06-10,36.36,36.95,210.4333333
2020-06-11,36.53,37.36,210.4333333
2020-06-12,37.27,35.85,210.4333333
2020-06-13,36.62,35.26,210.4
2020-06-14,36.06,37.18,189.3666667
2020-06-15,36.41,33.6,210.4
2020-06-16,36.84,24.35,210.4
2020-06-17,36.2,28.93,210.4
2020-06-18,36.92,31.28,210.4
2020-06-19,37.8,31.93,210.4
2020-06-20,37.92,34.46,210.3666667
2020-06-21,35.59,42.69,189.3333333
2020-06-22,34.3,47.89,210.3666667
2020-06-23,34.31,49.71,210.3666667
2020-06-24,33.17,58.96,210.3666667
2020-06-25,34.7,54.81,210.3666667
2020-06-26,34.31,54.76,210.3666667
2020-06-27,37.26,39.75,210.3666667
2020-06-28,37.44,38.99,189.3
2020-06-29,37.66,36.9,210.3333333
2020-06-30,35.02,49.62,210.3333333
2020-07-01,36.08,44.8,210.3333333
2020-07-02,36.19,45.85,209.7333333
2020-07-03,36.94,45.15,209.1
2020-07-04,37.1,44.15,208.5
2020-07-05,31.4,69.04,187.0666667
2020-07-06,33.47,53.64,207.2666667
2020-07-07,29.93,69.84,206.6333333
2020-07-08,31.14,67.13,206.0333333
2020-07-09,33.49,59.02,205.4
2020-07-10,35.76,48.42,204.8
2020-07-11,34.82,52.15,204.1666667
2020-07-12,33.47,57.19,183.2
2020-07-13,34.0,54.58,202.9333333
2020-07-14,35.47,45.06,202.3333333
2020-07-15,34.56,49.81,201.7
2020-07-16,33.74,54.73,201.1
2020-07-17,32.7,64.36,200.4666667
2020-07-18,33.22,64.27,199.8666667
2020-07-19,32.57,70.35,179.3
2020-07-20,33.67,61.08,198.6333333
2020-07-21,31.48,72.15,198.0
2020-07-22,28.55,82.11,197.4
2020-07-23,30.15,69.45,196.7666667
2020-07-24,30.61,66.57,196.1666667
2020-07-25,30.51,69.98,195.5333333
2020-07-26,30.7,70.96,175.4333333
2020-07-27,32.87,59.49,194.3
2020-07-28,33.66,61.7,193.7
2020-07-29,32.25,67.28,193.0666667
2020-07-30,29.33,80.17,192.4666667
2020-07-31,30.84,74.8,191.8333333
2020-08-01,31.59,70.23,191.2333333
2020-08-02,31.96,66.49,172.6
2020-08-03,32.62,68.15,192.3
2020-08-04,32.75,67.88,192.8333333
2020-08-05,31.51,70.77,193.3666667
2020-08-06,31.28,70.14,193.9
2020-08-07,31.24,71.99,194.4333333
2020-08-08,32.28,68.19,194.9666667
2020-08-09,32.29,68.06,175.9333333
2020-08-10,30.59,78.02,196.0
2020-08-11,29.26,85.53,196.5333333
2020-08-12,30.92,79.06,197.0666667
2020-08-13,29.18,87.46,197.6
2020-08-14,28.63,87.63,198.1333333
2020-08-15,29.72,80.26,198.6666667
2020-08-16,30.54,78.65,179.2666667
2020-08-17,31.06,77.07,199.7333333
2020-08-18,30.52,80.73,200.2666667
2020-08-19,29.98,84.86,200.8
2020-08-20,27.99,90.13,201.3333333
2020-08-21,28.19,81.39,201.8666667
2020-08-22,28.34,81.03,202.4
2020-08-23,28.36,82.92,182.6333333
2020-08-24,28.8,80.1,203.4666667
2020-08-25,29.16,79.91,203.9666667
2020-08-26,29.85,76.93,204.5
2020-08-27,29.39,81.61,205.0333333
2020-08-28,29.63,79.08,205.5666667
2020-08-29,29.0,80.06,206.1
2020-08-30,28.07,81.54,185.9666667
2020-08-31,28.69,76.99,207.1666667
2020-09-01,29.55,75.65,207.7
2020-09-02,28.85,78.06,206.1333333
2020-09-03,29.11,78.3,204.5666667
2020-09-04,29.77,76.28,203.0
2020-09-05,29.96,74.73,201.4333333
2020-09-06,29.44,74.8,179.8666667
2020-09-07,29.98,72.21,198.3
2020-09-08,29.8,70.64,196.7333333
2020-09-09,30.15,66.45,195.1666667
2020-09-10,30.66,65.53,193.6
2020-09-11,31.0,62.95,192.0333333
2020-09-12,30.31,62.61,190.4666667
2020-09-13,30.83,58.41,170.0
2020-09-14,30.43,55.98,187.3333333
2020-09-15,30.64,54.07,185.7666667
2020-09-16,31.47,57.27,184.2
2020-09-17,31.74,57.11,182.6
2020-09-18,31.88,53.55,181.0333333
2020-09-19,31.84,51.78,179.4666667
2020-09-20,30.74,55.09,160.1
2020-09-21,31.06,51.79,176.3333333
2020-09-22,31.44,60.02,174.7666667
2020-09-23,30.75,64.69,173.2
2020-09-24,31.27,57.44,171.6333333
2020-09-25,30.79,45.9,170.0666667
2020-09-26,29.91,46.85,168.5
2020-09-27,29.53,46.65,150.2333333
2020-09-28,29.76,43.04,165.3666667
2020-09-29,28.48,45.66,163.8
2020-09-30,28.03,46.09,162.2333333
2020-10-01,28.45,41.74,160.6666667
2020-10-02,28.83,38.92,159.5333333
